circuit_type,crosstalk_type,crosstalk_strength,num_intersecting_pairs,intersecting_pairs,full_state_fidelity,ideal_purity,noisy_purity,purity_loss,trace_distance,execution_time,total_time_us,raw_ops_per_sec,effective_ops_per_sec,quantum_volume,info_throughput_bits_per_sec,error_corrected_throughput,success_rate
teleportation,amp_phase,0.01,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.006826877593994141,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.01,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9816758026444639,1.0000000000000016,0.9637722115424312,0.036227788457570353,0.0026234917945445538,0.007196187973022461,1.1,909090.9090909091,892432.5478586035,1,892432.5478586035,17848.65095717207,0.9816758026444639
teleportation,amp_phase,0.02,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005838871002197266,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.02,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005980491638183594,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.02,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.009557247161865234,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.02,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9743177535226291,1.0000000000000016,0.9494788903541576,0.050521109645844,0.005001966164392788,0.01092386245727539,1.1,909090.9090909091,885743.4122932991,1,885743.4122932991,17714.868245865982,0.9743177535226291
teleportation,amp_phase,0.05,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005772590637207031,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.05,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.008903264999389648,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.05,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.0070514678955078125,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.05,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9524287196749825,1.0000000000000016,0.9078810109555877,0.09211898904441385,0.012501936374023206,0.00854182243347168,1.1,909090.9090909091,865844.2906136204,1,865844.2906136204,17316.88581227241,0.9524287196749825
teleportation,amp_phase,0.1,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.006157398223876953,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.1,2,"[(2, 4), (0, 2)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.00748443603515625,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.1,3,"[(2, 4), (0, 2), (1, 3)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.00841665267944336,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
teleportation,amp_phase,0.1,4,"[(2, 4), (0, 2), (1, 3), (0, 1)]",0.9165640438546411,1.0000000000000016,0.842697334167229,0.15730266583277253,0.025001886723407543,0.0074999332427978516,1.1,909090.9090909091,0.0,1,0.0,0.0,0.0
teleportation,pauli,0.001,1,"[(2, 4)]",0.9847443812523748,1.0000000000000016,0.9697713296262,0.030228670373801503,0.0014910190078913088,0.005948781967163086,1.1,909090.9090909091,895222.1647748862,1,895222.1647748862,17904.443295497724,0.9847443812523748
